"epsilon"	"Sigma"
0.00037228419	91.391384156051
0.0003753485	91.970969247611
0.00037679053	92.504551005175
0.00037653016	93.067636843153
0.00038165738	93.632721387341
0.0003823784	94.171551403264
0.0003847217	94.730136843153
0.000388487	95.279972979697
0.00039221224	95.848307076035
0.00039924214	96.389890276672
0.00040567119	96.960229697452
0.00039848107	97.496306528662
0.00039663848	98.062648537022
0.00040673269	98.588976711783
0.00040879559	99.153061902866
0.00041091858	99.702143560908
0.00040480998	100.26473303145
0.000406953	100.8360651871
0.00042469798	101.38040157245
0.00041246075	101.963487709
0.00042077246	102.49531563495
0.00042547908	103.06915610072
0.00042774227	103.61723840565
0.00043018571	104.15532056131
0.00042916427	104.75416470939
0.00043715553	105.2954964172
0.00044050023	105.90133603702
0.00043411124	106.44016605295
0.00043873775	107.01500587182
0.00044548726	107.58333996815
0.00044767033	108.10467137739
0.00043927851	108.6882604996
0.00044512675	109.20633573846
0.0004477905	109.75742272094
0.00045454	110.28675557325
0.00045367879	110.87659230693
0.00045301786	111.40942620422
0.00046727794	111.96200890725
0.00046257131	112.49608703225
0.00045952703	113.05467247213
0.00046333238	113.61425726513
0.0004737871	114.13658802747
0.00048097723	114.70692083002
0.00047324634	115.25100572253
0.00048023618	115.79033872412
0.00048207878	116.37117466162
0.00048736622	116.91451169387
0.00048580402	117.50585076632
0.00048678541	118.05667963774
0.00049563787	118.62901776473
0.00049403561	119.19285808121
0.00049247341	119.75994133161
0.00049645903	120.35178338973
0.00050172644	120.95362559713
0.0005009854	121.54446168392
0.00050086523	122.16130742436
0.00050987792	122.76464535231
0.00051630697	123.3912397492
0.00051416396	124.03034260549
0.00051654731	124.6534359574
0.00051600655	125.30628488256
0.00052129399	125.91237599522
0.00052277608	126.54747482086
0.00052624096	127.20982090963
0.00053030668	127.85617073049
0.00053675577	128.48101791401
0.00053675577	129.11160972333
0.00052952558	129.77795984275
0.00054240372	130.38055652866
0.00054360541	131.00889813893
0.00055289849	131.67424890525
0.00054819187	132.32584698447
0.00054536789	132.98019824841
0.0005640542	133.6322993133
0.00056181104	134.28440037818
0.00055395999	134.948996666
0.00056325307	135.6093506668
0.00056709849	136.26795083599
0.00057056337	136.92304996019
0.00056970215	137.63265684713
0.00057364771	138.28725298567
0.00058087789	138.95860648885
0.00058362175	139.61270625995
0.00058005673	140.34081772492
0.00058464319	141.04742655255
0.00058608522	141.72802572651
0.00059021103	142.4258852508
0.00059573881	143.12099159037
0.00060170722	143.83834842755
0.00060354981	144.49319605892
0.00060507196	145.19530448846
0.00060739523	145.88816062898
0.00060531229	146.57176448049
0.00061766969	147.2416156449
0.00061350383	147.94022302946
0.00062123471	148.59381981489
0.00061955234	149.29067998607
